Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
KEKT/SOL Kekius Terminalius,$0.0003601,22h,"53,608","53,608","53,608",0.85%,31.68%,-16.31%,227%,$110K,$360K
GENESIS/SOL GENESIS,$0.0002509,20h,"89,633","89,633","89,633",-1.83%,12.51%,-48.42%,141%,$79K,$250K
SANDY/SOL Sandy Codex,$0.02440,23h,"54,926","54,926","54,926",-2.31%,0.33%,-8.97%,"30,433%",$677K,$20.3M
TWRAE/SOL Trump Was Right About Everything,$0.0002292,1h,"6,320","6,320","6,320",6.28%,-12.35%,105%,105%,$58K,$229K
FUD/SOL FUD AI,$0.0004596,5h,"24,411","24,411","24,411",4.90%,31.75%,272%,272%,$87K,$459K
ASD/SOL ArkSciDAO,$0.004410,5h,"54,577","54,577","54,577",2.74%,47.63%,"5,444%","5,444%",$306K,$4.4M
BUZZ/SOL Hive AI,$0.04569,10h,"130,358","130,358","130,358",4.34%,-2.73%,30.15%,"13,854%",$1.2M,$45.6M
SMITH/SOL AGENT,$0.043512,19h,"19,710","19,710","19,710",5.37%,-25.43%,-39.25%,-53.76%,$24K,$35K
叽歪/SOL JJYY,$0.0003545,5h,"81,245","81,245","81,245",-3.07%,-18.46%,346%,346%,$97K,$346K
PILL/SOL PILL,$0.0003128,19h,"110,726","110,726","110,726",-4.97%,-4.11%,-19.09%,273%,$74K,$312K
AILIVE/SOL ailive,$0.01069,13h,"81,804","81,804","81,804",7.37%,-7.23%,-20.21%,"11,821%",$522K,$10.6M
aether/SOL aether collective,$0.01124,4d,"107,590","107,590","107,590",-0.67%,-18.57%,7.95%,157%,$584K,$11.2M
HolyShit/SOL Truth Terminal Final Coin,$0.002123,2h,"27,218","27,218","27,218",9.67%,-0.98%,"2,494%","2,494%",$195K,$2.1M
swarms/SOL swarms,$0.2344,14d,"50,576","50,576","50,576",-1.57%,-3.61%,12.78%,37.27%,$4.9M,$234.4M
